assay,condition,source,displayed_validity,frame,metric,mean,sem,trials
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,0,max_raw_patch,0.24901697412133217,0.0,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,1,max_raw_patch,0.14627223648130894,0.0,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,2,max_raw_patch,0.35408931970596313,0.0,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,3,max_raw_patch,0.20823842488850156,0.0012747557247901684,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,4,max_raw_patch,0.3041564509039745,0.004774793344733915,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,5,max_raw_patch,0.32990211659731966,0.006102183314656933,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,6,max_raw_patch,0.42957685856769484,0.015439763327060582,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,0,max_conditional_patch,0.25,0.0,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,1,max_conditional_patch,0.27229971274017367,6.264856340885524e-17,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,2,max_conditional_patch,0.3607145202719273,3.417194367755741e-17,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,3,max_conditional_patch,0.2903404516065288,0.000542473538906151,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,4,max_conditional_patch,0.35882755660481785,0.005463734503864971,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,5,max_conditional_patch,0.3733524939452775,0.006444236158134041,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,6,max_conditional_patch,0.5010442099316914,0.014448242948314002,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,0,normalized_entropy,1.0,0.0,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,1,normalized_entropy,0.9981960739361986,1.1390647892519137e-16,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,2,normalized_entropy,0.9773419193103491,1.822503662803062e-16,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,3,normalized_entropy,0.9969135386946988,7.956393602047518e-05,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,4,normalized_entropy,0.9614282860306499,0.0027638772252243527,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,5,normalized_entropy,0.9487070386532279,0.0040729807313020505,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,6,normalized_entropy,0.8312305482359531,0.014500351293230497,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,0,effective_locations,4.0,0.0,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,1,effective_locations,3.9900094071861694,7.745640566913013e-16,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,2,effective_locations,3.8763096954597427,5.467510988409185e-16,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,3,effective_locations,3.9829238891383496,0.0004393046106612867,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,4,effective_locations,3.7943433365117323,0.014276930988234763,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,5,effective_locations,3.730987429791957,0.020485318936681665,96
cue_proportion_nochange,historical_clean,previous_hidden_state_keys,0.25,6,effective_locations,3.2208214471093144,0.05585905225421026,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,0,source_share,0.0020025696212542243,0.0,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,1,source_share,0.99603710735695,3.479504457988287e-05,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,2,source_share,0.000381872432626551,5.2604315923513974e-06,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,3,source_share,0.2461865326622501,0.004969434770722363,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,4,source_share,0.13182853458783939,0.003225722755886761,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,5,source_share,0.09715900182588182,0.002422909916190614,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,6,source_share,0.052615510392746735,0.0036957896593571567,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,0,cue_raw,0.0005122764559928328,0.0,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,1,cue_raw,0.7489208089821204,1.3911574526388369e-05,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,2,cue_raw,9.737168787182782e-05,1.3416727104716437e-06,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,3,cue_raw,0.061601978552062064,0.0037305917309698707,96
