trial,change_status,test_location,sample_stimulus_minus_blank_combined,sample_query_stimulus_minus_blank_combined,sample_loc0_minus_loc3_combined,first_test_target_minus_other_combined,first_test_query_same_minus_other_memory,first_test_t3_query_same_minus_other_visual,first_test_t3_query_same_minus_other_memory,first_test_t3_query_same_minus_other_combined,first_test_t4_query_same_minus_other_visual,first_test_t4_query_same_minus_other_memory,first_test_t4_query_same_minus_other_combined,second_test_target_minus_other_combined,second_test_return_from_gap_combined,second_test_query_same_minus_other_visual,second_test_query_same_minus_other_memory,second_test_query_same_minus_other_combined
52,1,3,-0.0342569420627683,-2.4902168661355972e-05,-0.018203046813340507,-0.046619549899034496,0.05153762176632881,-0.04793927073478699,-1.2293457984924316e-06,-0.04794050008058548,-0.047790899872779846,0.10307647287845612,0.05528557300567627,nan,nan,nan,nan,nan
53,1,3,-0.03081105573940235,0.012241991935297847,0.026175580801854892,-0.04818956575975619,0.04564291052520275,-0.04794880747795105,1.6748905181884766e-05,-0.047932058572769165,-0.04783262312412262,0.09126907214522362,0.043436449021101,nan,nan,nan,nan,nan
54,1,3,-0.03137177952591941,0.010572590166702867,-0.022084931993859414,-0.04177544027219682,0.07060229033231735,-0.047818973660469055,-1.5169382095336914e-05,-0.04783414304256439,-0.04780757427215576,0.14121975004673004,0.09341217577457428,nan,nan,nan,nan,nan
55,1,3,-0.03271850280389543,0.005682132672518492,0.007847645325441022,-0.045509538453046616,0.05501360446214676,-0.047964274883270264,-5.510449409484863e-05,-0.04801937937736511,-0.04786011576652527,0.11008231341838837,0.0622221976518631,nan,nan,nan,nan,nan
56,1,3,-0.031649996911781386,0.00959659251384437,0.02599408909475187,-0.04817350911181961,0.04551849886775017,-0.04795427620410919,-5.364418029785156e-07,-0.04795481264591217,-0.04776988923549652,0.09103753417730331,0.04326764494180679,nan,nan,nan,nan,nan
57,1,3,-0.03478706787052133,-0.0023088580928742886,-0.00031080352956536217,-0.04229004151295612,0.06896378472447395,-0.04793354868888855,-5.410611629486084e-05,-0.04798765480518341,-0.04780508577823639,0.13798167556524277,0.09017658978700638,nan,nan,nan,nan,nan
58,1,3,-0.028622499392110257,0.02057542826514691,0.016756118385437446,-0.0464662315718698,0.05257165990769863,-0.047919780015945435,-6.48200511932373e-07,-0.04792042821645737,-0.04775440692901611,0.1051439680159092,0.05738956108689308,nan,nan,nan,nan,nan
59,1,3,-0.029021477917940075,0.01901824993547052,0.028135865773030844,-0.04733158207949373,0.04864502139389515,-0.047870784997940063,0.00040068477392196655,-0.0474701002240181,-0.04783879220485687,0.09688935801386833,0.04905056580901146,nan,nan,nan,nan,nan
60,1,3,-0.03225206531547542,0.007348525105044246,-0.012631685376419455,-0.04240828363474236,0.06790849938988686,-0.04787059128284454,2.7120113372802734e-06,-0.04786787927150726,-0.047808438539505005,0.13581428676843643,0.08800584822893143,nan,nan,nan,nan,nan
61,1,3,-0.03145307805166553,0.00978727894835174,-0.04455835754455251,-0.050699801263917266,0.035423643887043,-0.04798181354999542,-9.514391422271729e-06,-0.047991327941417694,-0.0477825403213501,0.07085680216550827,0.023074261844158173,nan,nan,nan,nan,nan
62,1,3,-0.030404029152094836,0.01416815968696028,0.01877394371079788,-0.0496500242185931,0.03968326188623905,-0.04797111451625824,-2.0407140254974365e-05,-0.047991521656513214,-0.04769599437713623,0.07938693091273308,0.03169093653559685,nan,nan,nan,nan,nan
63,1,3,-0.034717505240394075,-0.001792574767023325,0.023828555172343613,-0.04383014488290371,0.06203710660338402,-0.04787927865982056,-4.3936073780059814e-05,-0.047923214733600616,-0.04782797396183014,0.1241181492805481,0.07629017531871796,nan,nan,nan,nan,nan
64,0,0,-0.03183408681327293,0.008669477188959718,-0.01899302520791224,-0.0500238505333499,0.04564042575657368,-0.04839766025543213,-0.00019741803407669067,-0.04859507828950882,-0.04826363921165466,0.09147826954722404,0.04321463033556938,-0.0040636271409724145,-0.013873933070349231,-0.048529237508773804,0.22009953833185136,0.17157030082307756
65,0,0,-0.0330168215790394,0.004864276619628072,-0.02435497761862848,-0.05138766896970992,0.04018480330705643,-0.04836386442184448,1.7136335372924805e-06,-0.04836215078830719,-0.048251137137413025,0.08036789298057556,0.03211675584316254,-0.00333012046932879,-0.007751256960849773,-0.04851618409156799,0.23061015456914902,0.18209397047758102
66,0,0,-0.02870921587201991,0.020699001965112984,-0.002059533943238989,-0.05192048030866658,0.03781615383923054,-0.04830555617809296,-2.421438694000244e-06,-0.04830797761678696,-0.04812026023864746,0.07563472911715508,0.027514468878507614,-0.012339978019042519,-0.02188664942702978,-0.048485174775123596,0.1828980079444591,0.1344128331693355
67,0,0,-0.030013862411699677,0.01592892687767744,-0.03243038533834408,-0.04996018028020899,0.045502327382564545,-0.048356205224990845,4.082918167114258e-06,-0.04835212230682373,-0.04815094172954559,0.09100057184696198,0.04284963011741638,0.013191666042068562,0.003818839435531629,-0.04853598773479462,0.2689213672711048,0.2203853795363102
68,0,0,-0.033983293312125795,0.0010634653735905886,-0.03930436884449762,-0.050307048241222674,0.04445861093699932,-0.048332199454307556,-4.8123300075531006e-05,-0.04838032275438309,-0.0481925904750824,0.08896534517407417,0.040772754698991776,-0.019047977052920828,-0.027984827742717044,-0.048360079526901245,0.16087992629036307,0.11251984676346183
69,0,0,-0.03014173273282239,0.01569247990846634,-0.007950119529951394,-0.051636774848915934,0.03889344818890095,-0.048379331827163696,-1.0214745998382568e-05,-0.04838954657316208,-0.04816719889640808,0.07779711112380028,0.029629912227392197,-0.035126377301480716,-0.044440553413160444,-0.0484185516834259,0.10485341108869761,0.05643485940527171
70,0,0,-0.03165169746566221,0.008925307774916291,-0.02300362124401545,-0.04966923594820827,0.04740525782108307,-0.048436447978019714,1.033395528793335e-05,-0.04842611402273178,-0.04830352962017059,0.0948001816868782,0.04649665206670761,0.01280501640142262,0.003442286161202901,-0.04848429560661316,0.26701231341576204,0.21852801780914888
71,0,0,-0.03143915738683489,0.010456939227879047,-0.010609916925886864,-0.04703112210860638,0.05781323462724686,-0.048454076051712036,5.570054054260254e-05,-0.048398375511169434,-0.048337966203689575,0.11557076871395111,0.06723280251026154,0.007752463288149158,-0.0010556680117925765,-0.04852427542209625,0.2547866110689938,0.20626233564689755
72,0,0,-0.03010419399671349,0.015541648492217064,-0.016321527557366267,-0.04922450895611519,0.04842899367213249,-0.04828205704689026,0.00026579201221466064,-0.0480162650346756,-0.04823809862136841,0.09659219533205032,0.048354096710681915,-0.01009325568047359,-0.018707526822698384,-0.04844406247138977,0.19204405043274164,0.14359998796135187
73,0,0,-0.029919800382582906,0.016173365991562605,-0.011726648716013699,-0.05022377632620589,0.044884342700242996,-0.04848465323448181,8.97720456123352e-05,-0.048394881188869476,-0.04823629558086395,0.08967891335487366,0.041442617774009705,0.007717766067848686,-0.0003350685490381977,-0.04841436445713043,0.24958884972147644,0.201174485264346
74,0,0,-0.030679415042243363,0.012560296338051558,0.01187590104808578,-0.04934330963543232,0.04774387739598751,-0.048378393054008484,1.2665987014770508e-07,-0.048378266394138336,-0.04823891818523407,0.09548762813210487,0.047248709946870804,0.010633564825809572,0.00140233494426667,-0.04837784171104431,0.25948290922679007,0.21110506751574576
