env,routing,condition,displayed_validity,alpha,beta,gamma,lam,converged,n_trials_per_point,active_items,source_path,source_sha256,checkpoint_sha256
vda9,crossattn1,invalid,0.5,18.844104582830507,4.652535290207156,0.053572095264668836,8.56380370903898e-21,True,300,9,RViT_plus_paper_jepa_grid9\reports\vda_series\first_wave_20260711_production\data\psychometric_vda9_crossattn1.npz,b64af40a14b85cfa00d6ae8c19f6205e03c0579574bf87947106374a796cfa04,6c0587201cd2bf99b43e02278d4c65b03ab79d9b1f811406fc4962d962714946
vda9,crossattn1,valid,0.75,12.866065939874604,3.921847228009394,0.038099495354448946,4.8528258311023893e-20,True,300,9,RViT_plus_paper_jepa_grid9\reports\vda_series\first_wave_20260711_production\data\psychometric_vda9_crossattn1.npz,b64af40a14b85cfa00d6ae8c19f6205e03c0579574bf87947106374a796cfa04,6c0587201cd2bf99b43e02278d4c65b03ab79d9b1f811406fc4962d962714946
vda9,crossattn1,invalid,0.75,19.88668928755746,4.677110344642464,0.06160287166195727,0.001844568391603777,True,300,9,RViT_plus_paper_jepa_grid9\reports\vda_series\first_wave_20260711_production\data\psychometric_vda9_crossattn1.npz,b64af40a14b85cfa00d6ae8c19f6205e03c0579574bf87947106374a796cfa04,6c0587201cd2bf99b43e02278d4c65b03ab79d9b1f811406fc4962d962714946
vda9,crossattn1,valid,1.0,13.143134978345397,3.907335021726801,0.02532397185636256,6.731380245143024e-19,True,300,9,RViT_plus_paper_jepa_grid9\reports\vda_series\first_wave_20260711_production\data\psychometric_vda9_crossattn1.npz,b64af40a14b85cfa00d6ae8c19f6205e03c0579574bf87947106374a796cfa04,6c0587201cd2bf99b43e02278d4c65b03ab79d9b1f811406fc4962d962714946
vda9,crossattn1,invalid,1.0,21.16751125704446,4.411616961582977,0.055973900728346085,0.12309283091542088,True,300,9,RViT_plus_paper_jepa_grid9\reports\vda_series\first_wave_20260711_production\data\psychometric_vda9_crossattn1.npz,b64af40a14b85cfa00d6ae8c19f6205e03c0579574bf87947106374a796cfa04,6c0587201cd2bf99b43e02278d4c65b03ab79d9b1f811406fc4962d962714946
vda16,crossattn1,valid,0.25,18.957519516974735,4.334410839211738,0.032436390144707165,0.029014410073774605,True,300,16,RViT_plus_paper_jepa_grid9\reports\vda_series\vda16_crossattn_nodecay_20260719_production\data\psychometric_vda16_crossattn1.npz,4416440472a17350faf368000740af45ae3f81a340b11e3e8a1dc94cff632c23,b40d9aa49ec28c352d7a790de84f5902e1a307f7b2abe5fe68dc9e6aabb4f84d
vda16,crossattn1,invalid,0.25,23.46163624726949,5.453836105411068,0.033407139153630555,0.10449407159576851,True,300,16,RViT_plus_paper_jepa_grid9\reports\vda_series\vda16_crossattn_nodecay_20260719_production\data\psychometric_vda16_crossattn1.npz,4416440472a17350faf368000740af45ae3f81a340b11e3e8a1dc94cff632c23,b40d9aa49ec28c352d7a790de84f5902e1a307f7b2abe5fe68dc9e6aabb4f84d
vda16,crossattn1,valid,0.5,16.015094368581853,4.460123565765156,0.0063101985627511065,3.739278559533192e-17,True,300,16,RViT_plus_paper_jepa_grid9\reports\vda_series\vda16_crossattn_nodecay_20260719_production\data\psychometric_vda16_crossattn1.npz,4416440472a17350faf368000740af45ae3f81a340b11e3e8a1dc94cff632c23,b40d9aa49ec28c352d7a790de84f5902e1a307f7b2abe5fe68dc9e6aabb4f84d
vda16,crossattn1,invalid,0.5,26.6514253049118,5.733176813507917,0.01720946287859439,0.17772072212179724,True,300,16,RViT_plus_paper_jepa_grid9\reports\vda_series\vda16_crossattn_nodecay_20260719_production\data\psychometric_vda16_crossattn1.npz,4416440472a17350faf368000740af45ae3f81a340b11e3e8a1dc94cff632c23,b40d9aa49ec28c352d7a790de84f5902e1a307f7b2abe5fe68dc9e6aabb4f84d
vda16,crossattn1,valid,0.75,16.043701146811127,4.440523430596752,0.009987235992094577,1.270118250068372e-19,True,300,16,RViT_plus_paper_jepa_grid9\reports\vda_series\vda16_crossattn_nodecay_20260719_production\data\psychometric_vda16_crossattn1.npz,4416440472a17350faf368000740af45ae3f81a340b11e3e8a1dc94cff632c23,b40d9aa49ec28c352d7a790de84f5902e1a307f7b2abe5fe68dc9e6aabb4f84d
vda16,crossattn1,invalid,0.75,26.928171913875005,5.572171570666085,0.018694023808263256,0.18703860411661055,True,300,16,RViT_plus_paper_jepa_grid9\reports\vda_series\vda16_crossattn_nodecay_20260719_production\data\psychometric_vda16_crossattn1.npz,4416440472a17350faf368000740af45ae3f81a340b11e3e8a1dc94cff632c23,b40d9aa49ec28c352d7a790de84f5902e1a307f7b2abe5fe68dc9e6aabb4f84d
