trial,change_status,test_location,sample_stimulus_minus_blank_combined,sample_loc0_minus_loc3_combined,first_test_target_minus_other_combined,first_test_query_same_minus_other_memory,second_test_target_minus_other_combined,second_test_return_from_gap_combined,second_test_query_same_minus_other_memory
117,0,3,-0.02870316300341358,-0.0001988017558858246,-0.04852663529325696,0.04384858347475529,-0.09360887229345849,-0.0550037714868683,-0.12344139069318771
118,0,3,-0.029697429241814177,-0.04696074429253372,-0.048642489741936856,0.043515877798199654,-0.10273500613584474,-0.06812000341917823,-0.15548041177680716
119,0,3,-0.03088987736793314,0.018749687980928798,-0.042741874620070064,0.06716519221663475,-0.09702745449529715,-0.06974705698617978,-0.1295836055651307
120,0,3,-0.02912376183171972,-0.014800692664280746,-0.045452389690410655,0.05582903511822224,-0.11186142024391899,-0.07047855076124421,-0.1801390242180787
121,0,3,-0.035068422788505416,-0.015229384348842245,-0.04274502874224595,0.06680090352892876,-0.11395882260207912,-0.07019124896836004,-0.19138023446430452
122,0,3,-0.033501360780064715,0.013388231534406714,-0.050804516169602465,0.034923356026411057,-0.12916787081266534,-0.07055876282160956,-0.25089209398720413
123,0,3,-0.033652262904123376,0.004235652765125053,-0.05005093863248078,0.03795240446925163,-0.12029545759211757,-0.07083598708847916,-0.2124855508445762
124,0,3,-0.03340805273551695,-0.01901600679831006,-0.04485372024321066,0.058838220313191414,-0.12471270664661205,-0.0689687120094753,-0.23510453361086547
125,0,3,-0.03168149676730536,-0.022445266862490598,-0.042883378391735505,0.06663297489285469,-0.10952124831400312,-0.07117438869860138,-0.17726364038753673
126,0,3,-0.031209254067814385,-0.03505112835380686,-0.04555484097097917,0.05501488409936428,-0.10320928458037315,-0.06967270967461303,-0.1485370821901597
