label,grid,n_tokens,seed,condition,window,source,metric,n_trials,mean,ci95_low,ci95_high,interval_unit,interval_method
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,memory,target_minus_cue_raw_peak,128,0.026649737115803873,0.022964010509167566,0.030408327210261633,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,memory,target_minus_other_raw_peak,128,0.03348595386341913,0.03015949919814981,0.03673254582960605,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,memory,target_minus_cue_peak_share,128,0.32747391429533995,0.2874157404752065,0.3655252642754728,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,memory,target_minus_other_peak_share,128,0.41218885365168373,0.38148782779294127,0.44191649257418414,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,memory,target_argmax_raw_total,128,0.8671875,0.8046875,0.921875,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,memory,target_argmax_raw_peak,128,0.921875,0.875,0.9609375,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,visual,source_total_share,128,0.33357841853279524,0.332458148636556,0.33464465322360865,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,visual,target_raw_total_quadrant_mass,128,0.08181376383976158,0.0814998982928273,0.08213455022662117,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,visual,cue_raw_total_quadrant_mass,128,0.08210489004306964,0.0817460903057082,0.08245728108633585,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,visual,target_raw_peak_patch,128,0.006332640299660852,0.006302416127437027,0.006362283284215664,held-out trials,percentile bootstrap (10000 draws)
